experiment,group,scenario,chain,quality,engine,cs_psnr,sr_psnr,cs_ssim,sr_ssim,cs_mae,sr_mae,cs_rmse,sr_rmse
cascade,cascade,Double same,JPEG -> JPEG,80,sim,20.770168685913085,22.49127014160156,0.8430067825317383,0.632575364112854,16.71294563293457,14.118373832702638,25.06381851196289,19.957648849487306
cascade,cascade,Double cross,JPEG -> WebP,80,sim,20.770168685913085,22.28218467712402,0.8430067825317383,0.614323239326477,16.71294563293457,14.537032127380371,25.06381851196289,20.36841857910156
cascade,cascade,Triple mixed,JPEG -> WebP -> JPEG,80,sim,20.770168685913085,22.141941833496094,0.8430067825317383,0.6144367814064026,16.71294563293457,14.771379089355468,25.06381851196289,20.700960998535155
cascade,cascade,Platform simulate,JPEG -> HEIF -> WebP,80,sim,20.770168685913085,21.921909866333007,0.8430067825317383,0.599715301990509,16.71294563293457,15.250287818908692,25.06381851196289,21.141576232910158
cascade,cascade,Full chain,JPEG -> WebP -> HEIF -> AVIF,80,sim,20.770168685913085,21.715841903686524,0.8430067825317383,0.5964624309539794,16.71294563293457,15.650513763427734,25.06381851196289,21.605811462402343
cascade,sweep,JPEG q=95,JPEG,95,sim,20.770168685913085,23.359349670410158,0.8430067825317383,0.6959495520591736,16.71294563293457,12.758087158203125,25.06381851196289,18.17160842895508
cascade,sweep,JPEG q=90,JPEG,90,sim,20.770168685913085,23.117964096069336,0.8430067825317383,0.6740096855163574,16.71294563293457,13.135099067687989,25.06381851196289,18.639730377197267
cascade,sweep,JPEG q=80,JPEG,80,sim,20.770168685913085,22.604202499389647,0.8430067825317383,0.6372364330291748,16.71294563293457,13.93041748046875,25.06381851196289,19.706851882934572
cascade,sweep,JPEG q=65,JPEG,65,sim,20.770168685913085,21.999761657714842,0.8430067825317383,0.6006164884567261,16.71294563293457,14.911666831970216,25.06381851196289,21.06044731140137
cascade,sweep,JPEG q=50,JPEG,50,sim,20.770168685913085,21.542626037597657,0.8430067825317383,0.5754913878440857,16.71294563293457,15.731261749267578,25.06381851196289,22.14568183898926
cascade,sweep,WebP q=95,WebP,95,sim,20.770965118408203,23.34787811279297,0.8430123329162598,0.7139017271995545,16.7128010559082,12.965784072875977,25.06135208129883,18.117779693603516
cascade,sweep,WebP q=90,WebP,90,sim,20.770965118408203,23.441648101806642,0.8430123329162598,0.7100372290611268,16.7128010559082,12.803289337158203,25.06135208129883,17.939204330444337
cascade,sweep,WebP q=80,WebP,80,sim,20.770965118408203,23.410064849853516,0.8430123329162598,0.7006842017173767,16.7128010559082,12.877070388793946,25.06135208129883,17.974140701293944
cascade,sweep,WebP q=65,WebP,65,sim,20.770965118408203,22.89636688232422,0.8430123329162598,0.683562912940979,16.7128010559082,13.83311435699463,25.06135208129883,18.905020751953124
cascade,sweep,WebP q=50,WebP,50,sim,20.770965118408203,22.04091606140137,0.8430123329162598,0.6646367073059082,16.7128010559082,15.574268112182617,25.06135208129883,20.656829528808593
cascade,sweep,HEIF q=95,HEIF,95,sim,20.76984848022461,23.532803192138672,0.8430493927001953,0.7187692403793335,16.71229751586914,12.671387176513672,25.06497917175293,17.754536972045898
cascade,sweep,HEIF q=90,HEIF,90,sim,20.76984848022461,23.47944290161133,0.8430493927001953,0.7147702550888062,16.71229751586914,12.757402648925781,25.06497917175293,17.84827465057373
cascade,sweep,HEIF q=80,HEIF,80,sim,20.76984848022461,23.33042053222656,0.8430493927001953,0.7041655158996583,16.71229751586914,13.00984977722168,25.06497917175293,18.120634460449217
cascade,sweep,HEIF q=65,HEIF,65,sim,20.76984848022461,22.956025695800783,0.8430493927001953,0.6792093563079834,16.71229751586914,13.651967163085937,25.06497917175293,18.842824325561523
